Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;;;;;;;;;;;;
1982;;;;;;;;;;;;
1983;;;;;;;;;111.6;109.1;106.1;103.9
1984;113;;;;;;;;;111.5;98.8;113.9
1985;135.9;107.7;126.1;103;91.7;76.9;91;97.3;;;;
1986;;;;;;;;;;;;
1987;;;;;;;;;;;;
1988;;;;;95.6;89.1;87.6;100.7;113.2;115.2;95.2;116
1989;111.8;113.9;116.9;97.6;79.2;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;;;;;;;;
1992;;;;;;;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;;;;
1995;;;;;;;;118.7;113;112.7;113.3;114.6
1996;133.4;104.6;125.5;;;;;;;;;
1997;;;;;;;;;;;;
1998;;;;;;;94.7;107;120.5;115.6;101;115.8
1999;114.9;101.9;124.5;97.5;99;85.8;95;104.9;114.8;122;118.4;122.7
2000;127.2;119.1;122.8;97.6;85.5;83.1;90;106.6;108.2;107.7;106.5;112.1
2001;135.2;127.5;;;;;;;;;;
2002;;;;;;;;;;;;
2003;;;;;;;;;;;;
2004;;;;;;;;;;;;
2005;;;;;;;;;;;113.2;115.5
2006;107.5;121.4;116.9;;;;;;;;;
2007;;;;;;83.3;103.7;114.2;114.4;122.5;112.6;121.3
2008;132.1;117.7;128.2;114;88.2;89.6;;;;;107.7;117.7
2009;111.1;120;120.2;;;;;;;;;
2010;;;;;;95.6;96.4;105.6;125.7;127.2;111.5;116.5
2011;128.6;109.6;120.5;100.6;87.3;;95.1;122.9;117.8;121.8;112.9;111
2012;128.2;124.1;113.3;99.8;94.9;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;;;
2015;;;;;;;;;;;;
2016;;;;;;;;114.6;123.1;123;113.9;115.9
2017;;;;;;;;;;123.7;109.7;126.4
2018;125.2;123.1;121.6;99.8;;;;;;;;
2019;;;;;;;;;;;;
2020;;;;;;;;104.4;137;138.3;114.8;121.2
2021;;;;;;;;;;;;
