Años;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1981;;;;;;;;;;;;
1982;;;;309.4;387.5;327.4;320.3;286;228.6;231.2;237.5;195.7
1983;152.6;145.3;162.5;383.6;283.5;320.5;;;;;;
1984;;;;;;;;;;;;
1985;;;;;;;;;;;;
1986;;;;;;;;;322.3;297;223.1;227.3
1987;146.7;220.6;182.8;334.6;347.9;366.8;353.6;302.6;240.7;231.9;264.8;175.2
1988;120.1;146.8;;;;;;;;;;
1989;;;;;;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;435.7;388.3;538.7;404.8;231;221.9;198.5;105.7
1992;96.5;138.9;217.3;319.6;345.2;293.7;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;273.4;237.2;196;162.6
1995;90;48.7;214.6;;;;;;;;;
1996;;;;;;;;;;;;
1997;;;;;592.6;312.4;352.5;263.4;238.6;219.7;199;176.5
1998;98;161.4;224.1;389.7;434.3;;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;;;;;;;;;;
2002;;;;;;414.5;477.7;341.5;215.2;286.4;222.8;202.7
2003;38.2;145.3;;;;;;;;;;
2004;;;;;;;348.2;324.8;283.8;209.3;240;172.9
2005;181.4;163.7;;;;;;;;;;
2006;;;;;;;;;238.7;247.9;281.6;287.1
2007;118.6;;;;;;;;;;;
2008;;;;;;;;;;;;
2009;;;;;;;424.8;322.5;225;215.8;195.1;134.6
2010;84.3;146.9;289.2;;;;;;;;;
2011;;;;;;;;;;;;
2012;;;;;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;284.1;237;154.3
2015;161.7;145.9;239.9;352;424.7;575.2;375.5;336.5;160.1;262.5;238.8;162.9
2016;10.5;140.9;192.3;413.9;;;;;;;;
2017;;;;;;;;;;;;
2018;;;;;;;;;219.2;253;277.1;117.4
2019;130.1;137.3;255.9;300.1;408.2;514.5;;;;;;
2020;;;;;;;;;;;;
2021;;;;;;;;;;;;
